w-100 href,h6 href,h6,mb-0,Website
+603-80759012,https://www.hotfrog.com.my/company/1100243769253888,Aero System Aviation Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244315447296,Rational Trade Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243530764288,Angkasa Teknik (M) Sdn Bhd,,None
+603-56331432,https://www.hotfrog.com.my/company/1100244145020928,S I I Malaysia Sdn Bhd,,None
+603-78054061,https://www.hotfrog.com.my/company/1100244450066432,Pumpen Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100245057089536,Ong Ong Kiong,,None
+603-21428315,https://www.hotfrog.com.my/company/1100245026422784,Otec Kmaj Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244834566144,Pentronic Engineering Sdn Bhd,,None
+603-31916068,https://www.hotfrog.com.my/company/1100243478683648,Ara Borgstena Sdn Bhd,,None
+603-77812302,https://www.hotfrog.com.my/company/1100243475918848,Araya Enterprise,,None
+603-78047777,https://www.hotfrog.com.my/company/1100244056760320,Sanden Air Conditioning (M) Sdn Bhd,,None
+603-56322614,https://www.hotfrog.com.my/company/1100244397850624,Putra Binabangun Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244858585088,Pemborong Mukhtarmad Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243095261184,Bio-Tech Enterprise,,None
,https://www.hotfrog.com.my/company/1100243506692096,Antaratek Sdn Bhd,,None
+603-80765696,https://www.hotfrog.com.my/company/1100244028014592,Saujana Saintifik Sdn Bhd,,None
+603-92816313,https://www.hotfrog.com.my/company/1100243670749184,Air-Cond Experts Sales And Service Malaysia Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100245222649856,Ng Chon Cheah,,None
+603-22829360,https://www.hotfrog.com.my/company/1100243619426304,Alfin Oceans Sdn Bhd,,None
+603-92859858,https://www.hotfrog.com.my/company/1100243130994688,Bestec Telecommunication,,None
,https://www.hotfrog.com.my/company/1100243497926656,Applied Modular Automation (Penang) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238832611328,Sedako Sdn Bhd,,None
+603-62581644,https://www.hotfrog.com.my/company/1100239368437760,M P Industrial Corporation Sdn Bhd,,None
+603-92854898,https://www.hotfrog.com.my/company/1100238936846336,Modal Dinar (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243975823360,A C Marketing Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100239193788416,Man Electronics (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244452962304,Public Electronic,,None
,https://www.hotfrog.com.my/company/1100242972692480,C K Engineering Supply,,None
,https://www.hotfrog.com.my/company/1100242279579648,Cosmic Enterprise Sdn Bhd,,None
+603-92826868,https://www.hotfrog.com.my/company/1100244280287232,Renstep Electronics Engineering Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100237280858112,Vilka Enterprise,,None
+603-87369254,https://www.hotfrog.com.my/company/1100244310269952,Rcp Technologies Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100234020851712,RF MUSEN SDN BHD,"Sales and services wireless radio communication devices, batteries and accessories....",None
+603-80632998,https://www.hotfrog.com.my/company/1100232387153920,ARAS BAYU SDN.BHD.,"We are HVAC Contractor, Design, Installer and Trouble-Shooter for any kind of Heating, Ventilation and Air Conditioning...",None
+607-5908560,https://www.hotfrog.com.my/company/1100230100897792,SRI AMAAN WELDING & ENGINEERING WORKS,"Sri Amaan Welding & Engineering works started as an engineering trading company providing Welding, Fabrication, Industrial works,...",None
,https://www.hotfrog.com.my/company/1100238840508416,Motorola Technology Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100241584619520,Fuji Air Cond Trading,,None
+603-77279036,https://www.hotfrog.com.my/company/1100239906656256,L H Chan Medical Resources Sdn Bhd,,None
+603-87377886,https://www.hotfrog.com.my/company/1100240481001472,Kaa Communications Sdn Bhd,,None
+603-40421500,https://www.hotfrog.com.my/company/1100243153301504,Berjiwa Maju Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243104534528,Bidor Agriculture & Hardware Company,,None
,https://www.hotfrog.com.my/company/1100236953366528,Yoong Kejuruteraan Hawa Dingin,,None
,https://www.hotfrog.com.my/company/1100236966502400,Yiondak Trading Sdn Bhd,,None
+603-87363323,https://www.hotfrog.com.my/company/1100236984721408,Yik Loong Electric Air Cond Refrigerator Services,,None
+603-22831855,https://www.hotfrog.com.my/company/1100237199196160,Warisan Timur Sdn Bhd,,None
+603-78777877,https://www.hotfrog.com.my/company/1100237283545088,Victron Trading Company,,None
+603-79833909,https://www.hotfrog.com.my/company/1100237246738432,Wae Engineering Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100237543493632,Tong Len Trading Sdn Bhd,,None
+603-61388524,https://www.hotfrog.com.my/company/1100238178045952,Syarikat Hock Seng Timber Preservers Sdn Bhd,,None
+603-20952528,https://www.hotfrog.com.my/company/1100237275856896,Viscell Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238379556864,Stentex Sdn Bhd,,None
+603-79815211,https://www.hotfrog.com.my/company/1100237662494720,The Analytical Laboratory (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244420444160,Pusat Service Hawa Dingin Maju,,None
+603-77833322,https://www.hotfrog.com.my/company/1100244386406400,R & A Trading (Kuala Lumpur) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238636990464,Sin Chip Heng Industrial Gases,,None
+603-26916559,https://www.hotfrog.com.my/company/1100239019192320,Meteor Sound & Lighting System,,None
+603-40423921,https://www.hotfrog.com.my/company/1100238203461632,Syarikat Electrik Weng Huat,,None
,https://www.hotfrog.com.my/company/1100241080430592,Hock Fatt & Co,,None
+603-92223666,https://www.hotfrog.com.my/company/1100240507129856,K L Air Cond Parts Supply,,None
+603-31688999,https://www.hotfrog.com.my/company/1100239020572672,Metabuilt Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100239565492224,Leong Huat Farming Sdn Bhd,,None
+603-79837831,https://www.hotfrog.com.my/company/1100239587536896,Leon Telecommunication,,None
+603-56369633,https://www.hotfrog.com.my/company/1100242300829696,Cool Air Trading Sdn Bhd,,None
+603-56361388,https://www.hotfrog.com.my/company/1100238640836608,Sime Kubota Sdn Bhd,,None
+603-26929582,https://www.hotfrog.com.my/company/1100242186305536,Darshan Sports Centre,,None
+603-22601320,https://www.hotfrog.com.my/company/1100241356730368,Green & Smart Sdn Bhd,,None
+603-42946628,https://www.hotfrog.com.my/company/1100241555021824,G S Electronics,,None
,https://www.hotfrog.com.my/company/1100242098184192,Ditton Pneumatic Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100242147557376,Delta Letrik,,None
,https://www.hotfrog.com.my/company/1100241609555968,Framatome Connectors (M) Sdn Bhd,,None
+603-62753584,https://www.hotfrog.com.my/company/1100242890350592,Casinko (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243273039872,Bagusia Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244565180416,Polybloom Kinta Sdn Bhd,,None
+603-78051273,https://www.hotfrog.com.my/company/1100244943249408,Pantai Maju Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243832537088,Acatel Network System (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243749511168,Aftraco (Malaysia) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100239291236352,Maintenance Engineering Co.,,None
+603-80242826,https://www.hotfrog.com.my/company/1100245087932416,Ocned Water Technology Sdn Bhd,,None
+603-92848383,https://www.hotfrog.com.my/company/1100245027004416,Osmania Technical Services Sdn Bhd,,None
+6012-2526667,https://www.hotfrog.com.my/company/1100236461989888,Orthocare Enterprise,"Orthocare. ""Just a call away"". Call us or even sms us, and we will callyou back. We will bring the catalogue straight to...",None
+603-26917354,https://www.hotfrog.com.my/company/1100242585632768,Chee Seng Co,,None
+603-62724323,https://www.hotfrog.com.my/company/1100237249282048,W I A Industries Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100236910366720,Yusof Electricon,,None
,https://www.hotfrog.com.my/company/1100237719584768,Tek Hin (Hup Kee) Electrical Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243062984704,Boon Cheong Silkscreen Trading,,None
,https://www.hotfrog.com.my/company/1100244799102976,Permintex Industries Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240621654016,Jerai Cooling Engineering Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100241353318400,Group Engineers Malaysia Sdn Bhd,,None
+603-33420288,https://www.hotfrog.com.my/company/1100241040429056,Hong Loong Heng Welding & Trading Company,,None
,https://www.hotfrog.com.my/company/1100240203628544,Kiara Intisari Sdn Bhd,,None
+603-92822822,https://www.hotfrog.com.my/company/1100245278457856,Nefion Communications Centre,,None
+603-92854851,https://www.hotfrog.com.my/company/1100240594436096,Jis System (M) Sdn Bhd,,None
+603-78763690,https://www.hotfrog.com.my/company/1100238468497408,Soundbase Trading,,None
+603-79572888,https://www.hotfrog.com.my/company/1100242091720704,Digiphonic Servis Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240935407616,Hup Hing Engineering,,None
+603-20261281,https://www.hotfrog.com.my/company/1100241014456320,Hosiden Corporation (M) Sdn Bhd,,None
+603-92824584,https://www.hotfrog.com.my/company/1100244172349440,Rotek Water Systems Trading Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243975778304,A C Supply Sdn Bhd,,None
+603-31672731,https://www.hotfrog.com.my/company/1100244138958848,S.C. Lim Air-Cond. Electrical Engineering Sdn Bhd,,None
+603-92839740,https://www.hotfrog.com.my/company/1100240089894912,Klinik Kita,,None
+6016-5828361,https://www.hotfrog.com.my/company/1100232320880640,Mustardseed Synergy,We are the specialist in Enterprise Communication Solution that helps every business to run their business more efficient as well...,None
+6012-9578411,https://www.hotfrog.com.my/company/1100234345947136,MediHealth Intertrade,,None
,https://www.hotfrog.com.my/company/1100239825121280,Leanson Tractors (Bw) Sdn Bhd,,None
+603-21422300,https://www.hotfrog.com.my/company/1100243977310208,A & V Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238182162432,Syarikat Guan Chiong (Sarawak) Sdn Bhd,,None
+603-51923333,https://www.hotfrog.com.my/company/1100238991060992,Micron (M) Sdn Bhd,,None
+603-33235677,https://www.hotfrog.com.my/company/1100241219371008,Hc Material Supplies Sdn Bhd,,None
+603-56331578,https://www.hotfrog.com.my/company/1100242952638464,C. W. Tyre Service,,None
+603-55695514,https://www.hotfrog.com.my/company/1100242246934528,Cst Engineering Sdn Bhd,,None
+603-51220545,https://www.hotfrog.com.my/company/1100238443130880,Specom Engineering Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100242890547200,Casharvest Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100237342068736,Up-Up Trading,,None
+603-33427471,https://www.hotfrog.com.my/company/1100243727388672,Agihan Teknik Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238501203968,Sony Audio Penang (M) Sdn Bhd,,None
+603-78453328,https://www.hotfrog.com.my/company/1100242030718976,Dynamic Pile Testing Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238436085760,Sr Industrial Supplies Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100241811505152,Exclusive Telecommunication Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238433521664,Sri Darulnaim Auto Air Cond Accessories,,None
+603-61852590,https://www.hotfrog.com.my/company/1100245330374656,Nahamat Trading Sdn Bhd,,None
+603-56374900,https://www.hotfrog.com.my/company/1100245120065536,Notable Communication Centre,,None
+6016-9214730,https://www.hotfrog.com.my/company/1100235934490624,PROSTECH SUPPLY AND SERVICES,"Prostech supply & service medical air plant,air compressor equipment,vacuum pump, industrial equipment, industrial bearing,...",None
,https://www.hotfrog.com.my/company/1100238778499072,Seng Huat,,None
,https://www.hotfrog.com.my/company/1100238289694720,Super Light Engineering Works,,None
,https://www.hotfrog.com.my/company/1100240046444544,Knaps Construction & Trading,,None
+603-40414871,https://www.hotfrog.com.my/company/1100238439604224,Spiral Marketing,,None
,https://www.hotfrog.com.my/company/1100238468304896,Source One Technology Sdn Bhd,,None
+603-78031888,https://www.hotfrog.com.my/company/1100241877245952,Envilab Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240961298432,Huat Ming Enterprise Sdn Bhd,,None
+603-80653110,https://www.hotfrog.com.my/company/1100232423890944,Science Lab Asia SB,"SLA Biologix Sdn. Bhd., fully owned by Science Lab Asia Sdn. Bhd, has come to joint venture with a company of Biologix Group...",None
,https://www.hotfrog.com.my/company/1100236907757568,Zabia Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100245246226432,New Swiss Cool,,None
,https://www.hotfrog.com.my/company/1100245448269824,Ah Hian Motor Welding Workshop,,None
,https://www.hotfrog.com.my/company/1100238753398784,Seragam Bhd,,None
,https://www.hotfrog.com.my/company/1100239961718784,Ku Motor Welding Works,,None
,https://www.hotfrog.com.my/company/1100237602435072,Tht Audio World Enterprise,,None
,https://www.hotfrog.com.my/company/1100240321564672,Kee Welding & Iron Works,,None
+603-40457990,https://www.hotfrog.com.my/company/1100241441951744,Globe Bargains Sdn Bhd,,None
+603-40422666,https://www.hotfrog.com.my/company/1100241324875776,Gvc Karaoke Sdn Bhd,,None
+603-91714934,https://www.hotfrog.com.my/company/1100237483999232,Trillion Manufacturing Sdn Bhd,,None
+603-79812218,https://www.hotfrog.com.my/company/1100243293908992,B.A-E Trading Sdn Bhd,,None
+603-21457677,https://www.hotfrog.com.my/company/1100237099212800,Wong Kee Hong Electronic Sdn Bhd,,None
+603-40418298,https://www.hotfrog.com.my/company/1100244417269760,Pusat Video Service Lau Sdn Bhd,,None
+603-33236870,https://www.hotfrog.com.my/company/1100238588817408,Sinaran Emas Electronic Audio Sdn Bhd,,None
+603-92878686,https://www.hotfrog.com.my/company/1100244485255168,Pro-Ultra Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100239536267264,Lian Soon Machinery & Metal Works,,None
+603-90570154,https://www.hotfrog.com.my/company/1100237669560320,Tesgo Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100239598370816,Lee Tiong Air-Cond And Electrical Service Centre,,None
,https://www.hotfrog.com.my/company/1100239831240704,Le Engineering & Construction,,None
,https://www.hotfrog.com.my/company/1100245445709824,Alphaline Sdn Bhd,,None
+603-78772922,https://www.hotfrog.com.my/company/1100240126169088,Kingoya Enterprise Sdn Bhd,,None
+603-22849900,https://www.hotfrog.com.my/company/1100241814810624,Excel Worlwide Marketing Sdn Bhd,,None
+603-78762054,https://www.hotfrog.com.my/company/1100241468121088,Gibsion Air Conditioning & Trading Sdn Bhd,,None
+603-89457258,https://www.hotfrog.com.my/company/1100241794301952,Explorer Marine Centre Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243099525120,Bincon Auto Accessories,,None
,https://www.hotfrog.com.my/company/1100242151923712,Dejia Machinery Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100243130359808,Besdeals Agencies,,None
,https://www.hotfrog.com.my/company/1100240091070464,Klinik Joe Fernandez,,None
+603-21446979,https://www.hotfrog.com.my/company/1100244030078976,Satelite Telecommunications Dealer,,None
+603-62721492,https://www.hotfrog.com.my/company/1100244064522240,Sam Electric Centre,,None
+603-61898945,https://www.hotfrog.com.my/company/1100243644276736/akmal-holdings-sdn-bhd/kuala-lumpur/food-and-beverages,Akmal Holdings Sdn Bhd,,None
+6019-2233286,https://www.hotfrog.com.my/company/1100235851882496,MKS ELECTRICAL ENGGINERING,"MKS ELECTRICAL ENGINEERIG Specialist in electrical ,supplyer product electric .networking product & services,Nec sistem...",None
+603-20733377,https://www.hotfrog.com.my/company/1100239134994432,Matrix Asia Resources,,None
,https://www.hotfrog.com.my/company/1100244533243904,Precicomp (M) Sdn Bhd,,None
+609-7483378,https://www.hotfrog.com.my/company/1100234018111488,Pilcon Refrigeration & Air Conditioning Sdn. Bhd.,"We provide sales and service for few branded of Air conditioning. Coldroom & showcases, display cabinet, glassdoor chiller and...",None
,https://www.hotfrog.com.my/company/1100242178256896,Daya Civicoms Sdn Bhd,,None
+603-76603399,https://www.hotfrog.com.my/company/1100243588866048,Alpha Executive Business Center (M) Sdn Bhd,,None
+603-56313497,https://www.hotfrog.com.my/company/1100239851651072,Latest Communications Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100245137866752,North Malaya Laboratory Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100245330128896,Nahkoda Yacht Charter,,None
,https://www.hotfrog.com.my/company/1100245418811392,Acexide Technology Sdn Bhd,,None
+6017-2393550,https://www.hotfrog.com.my/company/1100244780449792,Perniagaan Ariff Sdn Bhd,,None
+603-42965361,https://www.hotfrog.com.my/company/1100237913206784,T & D Consult Sdn Bhd,,None
+603-62571611,https://www.hotfrog.com.my/company/1100239163486208,Maruni Harness (M) Sdn Bhd,,None
+603-60924848,https://www.hotfrog.com.my/company/1100237494730752,Tractor Line Engineering Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240668975104,Jasa Satria Corporation Sdn Bhd,,None
+603-62525609,https://www.hotfrog.com.my/company/1100240337522688,Kee Huat Crane Services,,None
,https://www.hotfrog.com.my/company/1100238730211328,Sew Engineering Sdn Bhd,,None
+603-91010676,https://www.hotfrog.com.my/company/1100238176874496,Syarikat Howah,,None
+603-56318388,https://www.hotfrog.com.my/company/1100241876459520,Envitech Sdn Bhd,,None
+603-77297248,https://www.hotfrog.com.my/company/1100241495486464,Geninco (M) Sdn Bhd,,None
+603-91315276,https://www.hotfrog.com.my/company/1100242373763072,City Enterprise,,None
+603-32910924,https://www.hotfrog.com.my/company/1100237131358208,Wing Hing Air-Cond Engineering,,None
,https://www.hotfrog.com.my/company/1100237749682176,Techment Consultancy,,None
+603-61564356,https://www.hotfrog.com.my/company/1100237161238528,Wenicon Engineering & Trading Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238232834048,Syarikat Azmir Engineering Sdn Bhd,,None
+603-60924848,https://www.hotfrog.com.my/company/1100237494702080,Tractor-Line Industries Sdn Bhd,,None
+603-51927577,https://www.hotfrog.com.my/company/1100238262718464,Sutrak (M) Sdn Bhd,,None
+603-31765034,https://www.hotfrog.com.my/company/1100237911953408,T C Electronics Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244890337280,Pcr Weld Supplies Sdn Bhd,,None
+603-42961668,https://www.hotfrog.com.my/company/1100237489942528,Transfield (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100244568334336,Poliklinik Mutiara,,None
+603-56347882,https://www.hotfrog.com.my/company/1100245054164992,Ontreal (M) Sdn Bhd,,None
+603-80626648,https://www.hotfrog.com.my/company/1100244998213632,Pace Teknikal Sistem Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240531103744,Jurusistem M E E,,None
+603-62736189,https://www.hotfrog.com.my/company/1100240120160256,Kj Building Services,,None
+603-77834255,https://www.hotfrog.com.my/company/1100239376650240,Luen Hup Seng Paint Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100239375228928,Lumut International Yacht Club,,None
+603-79837433,https://www.hotfrog.com.my/company/1100238182793216,Syarikat Golden Bright Sdn Bhd,,None
+603-42934212,https://www.hotfrog.com.my/company/1100240185368576,Kien Lik Heavy Duty Crane Service,,None
,https://www.hotfrog.com.my/company/1100240965398528,Hua Lian Electrical Service Company,,None
+603-62726598,https://www.hotfrog.com.my/company/1100239070081024,Megamas Sdn Bhd,,None
+603-42921413,https://www.hotfrog.com.my/company/1100241221931008,Hawa Dingin Kereta Cheong Kong,,None
+603-77812061,https://www.hotfrog.com.my/company/1100240471433216,Kam Leong Auto Work,,None
+603-40424002,https://www.hotfrog.com.my/company/1100240907276288,Hwee Lee Engineering (M) Sdn Bhd,,None
+603-90577652,https://www.hotfrog.com.my/company/1100242213011456,Dai-An Crane Services Sdn Bhd,,None
+603-22822250,https://www.hotfrog.com.my/company/1100242093445120,Dicklin Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240183488512,Kilang Amang Onn Sdn Bhd,,None
